via_point,mentions,sacco_count,num_corridors,corridors_touched,sample_saccos,example_via_raw,example_permit,VERDICT
thome,7,2,1,thika_road,THOMAT SAVINGS AND CREDIT COPPERATIVE SOCIETY LIMITED | HOME SACCO LIMITED,"odeon, thome, thika road",HOME SACCO LIMITED / ADR-8LMSEZM,
umoja innercore,7,5,1,thika_road,UMOINNER SACCO LTD | RISEN COMPANY LIMITED | SALTY SUPPORTERS INVESTMENT LIMITED,"JKIA, utawala, umoja, Umoja innercore, bururu, kencom, KNH, Ngumo, Kibera, Kawangware, satellite, Karen, Langata road, waiyaki way, Hardy",KENYA BUS SERVICE MANAGEMENT LIMITED / NTR-006,
kenyatta,7,6,1,thika_road,NANGKIS MATATU SACCO | SAFELINE MATATU SOCCO SOCIETY LIMITED | NGOKANA SAVINGS AND CREDIT COOPERATIVE SOCIETY,"kiserian, ngong,karen,dagoreti corner,prestige, kenyatta",NANGKIS MATATU SACCO / NTR-00201901141019580,
fedha,6,2,1,thika_road,TELAVIV TRAVELLERS LIMITED | ARBAB VENTURES LIMITED,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED / ADR-VYAS9K2,
westlandsuthiru,6,3,1,thika_road,LATEMA 22 TRAVELLERS SACCO | COSY TRAVEL LIMITED | STARBUS COMPANY (K) LTD,"odeon, westlandsuthiru, kinoo",COSY TRAVEL LIMITED / ADR-3ZQSAW5,
katani,6,2,1,thika_road,SINGLE LINE SERVICES LIMITED | COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"Bus Station, Hazina Kangundo rd Ruai Kamulu Utawala Mombasa rd Mlolongo, Katani",COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00202011241151430,
kagundo,6,1,1,thika_road,eastern bypass traverlers investment co. limited,"thika, ruiru, ruai, kagundo, machakos",eastern bypass traverlers investment co. limited / NTR-00374,
kariobagi,6,3,1,thika_road,NEEMA TRAVELLERS AGENCY LIMITED | eastern bypass traverlers investment co. limited | KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"kagundo, joska, kamulu, ruai, dandora, kariobagi, alslops",eastern bypass traverlers investment co. limited / ADR-EPJSRR9,
jamhuri,6,1,1,thika_road,EXPRESS CONNECTIONS LTD,"eastlands, ladhies road,bustation,ambassador,kencom,gpo,knh,upper hill,jamhuri,karen,kawangware, kawangware",EXPRESS CONNECTIONS LTD / NTR-00181,
mukuru kwa njenga,6,2,1,thika_road,INDIMA (NJE) SACCO | STAHITO  COMMUTER  SERVICES CO. LIMITED,"bus station, lusaka road,enterprise road,industrial area,general motors, mukuru kwa njenga",INDIMA (NJE) SACCO / NTR-00563,
kwa njenga,6,2,1,thika_road,INDIMA (NJE) SACCO | OUTREACH TRAVEL,"bus station, mombasa road, lusaka road, industrial area, kwa njenga",INDIMA (NJE) SACCO / ADR-VYASVJR,
warren,6,2,1,thika_road,LATEMA 22 TRAVELLERS SACCO | NAWASUKU SACCO,"Tom mboya, K.U,Thika rd,Warren,Kahawa sukari, Mwihoko",LATEMA 22 TRAVELLERS SACCO / NTR-00201901181136400,
kahuho,5,5,1,thika_road,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | WAKIMALI TRAVELLERS CO. LIMITED | KIZALI TRAVELLERS LIMITED,"Wangige Market, Ngecha Nduma Kamangu Gikambura Muguga Zambezi, Kahuho .",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00202009011729160,
syokimau,5,3,1,thika_road,TELAVIV TRAVELLERS LIMITED | ARBAB VENTURES LIMITED | COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED / ADR-VYAS9K2,
ngecha,5,3,1,thika_road,WALOKANA MULTIPURPOSE CO-OPERATIVE SOCIETY LTD | KIZALI TRAVELLERS LIMITED | HOME SACCO LIMITED,"Limuru, Ngecha, Uplands",HOME SACCO LIMITED / NTR-00471,
nyayo stadium,5,3,1,thika_road,KENYA BUS SERVICE MANAGEMENT LIMITED | NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | rasasi travellers limited,"Bus station, Lusaka rd,Nyayo Stadium,Rongai,Kiserian,Ngong,Karen,Dagoretti Corner, Kenyatta Hospital",KENYA BUS SERVICE MANAGEMENT LIMITED / ADR-2DVSZDY,
imara daima,4,2,1,thika_road,TELAVIV TRAVELLERS LIMITED | ARBAB VENTURES LIMITED,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED / ADR-VYAS9K2,
tigoni,4,2,1,thika_road,LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"Kiambu, Bypass Ruaka Banana Ndenderu Wangige Kikuyu Rusingiti Kamangu Thigio Mutarakwa Limuru, Tigoni",BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00201911291135300,
adams arcade,4,4,1,thika_road,city star shuttle limited | ST. MARYS TRANSPORT SACCO SOCIETY | LOTHIAN TRANSPORTERS,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited / NTR-0020181211134410497,
matasia,4,4,1,thika_road,city star shuttle limited | ST. MARYS TRANSPORT SACCO SOCIETY | LOTHIAN TRANSPORTERS,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited / NTR-0020181211134410497,
kiseriani,4,4,1,thika_road,city star shuttle limited | ST. MARYS TRANSPORT SACCO SOCIETY | LOTHIAN TRANSPORTERS,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",city star shuttle limited / NTR-0020181211134410497,
innercore,4,2,1,thika_road,UMOINNER SACCO LTD | CITY TRAM SHUTTLE LIMITED,"bus station, tala market,tom mboya, jogoo road, buruburu, outering road, umoja, innercore, kangundo road",CITY TRAM SHUTTLE LIMITED / ADR-K9BFV62,
satelite,4,2,1,thika_road,KENYA BUS SERVICE MANAGEMENT LIMITED | EXPRESS CONNECTIONS LTD,"jkia, mombasa road, bus station, gpo, knh, ngumo, kibera, yaya, kawangware, satelite, jamuhuri, karen, hardy",EXPRESS CONNECTIONS LTD / NTR-00178,
jamuhuri,4,2,1,thika_road,KENYA BUS SERVICE MANAGEMENT LIMITED | EXPRESS CONNECTIONS LTD,"jkia, mombasa road, bus station, gpo, knh, ngumo, kibera, yaya, kawangware, satelite, jamuhuri, karen, hardy",EXPRESS CONNECTIONS LTD / NTR-00178,
mihango,4,2,1,thika_road,FORWARD TRAVELLERS SACCO LTD | SOWETAMU TRAVELLERS SACCO,"kayole, mihango, eastern bypass, juja road, bus station",FORWARD TRAVELLERS SACCO LTD / NTR-00207,
waithaka,4,3,1,thika_road,GARAMU TRAVEL SOLUTIONS LIMITED | KENYA BUS SERVICE MANAGEMENT LIMITED | KADANA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"railways, ngong rd,hurlingham,yaya,korosho/mbaazi,kawanware,riruta satelite,waithaka,dagoretti market, kikuyu",GARAMU TRAVEL SOLUTIONS LIMITED / ADR-8LMS5QE,
kambaa,4,1,1,thika_road,GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,"githunguri, kambaa,kagaa,kimende,limuru,naivasha, nakuru",GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD / NTR-0088,
kagaa,4,1,1,thika_road,GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,"githunguri, kambaa,kagaa,kimende,limuru,naivasha, nakuru",GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD / NTR-0088,
highrise,4,2,1,thika_road,HIGHRISE KIBERA SACCO | JESMAT TRAVELLERS CO-OPRATIVE,"bus station, nyayo, highrise, knh, kibera",HIGHRISE KIBERA SACCO / ADR-9AKFJ77,
peponi rd,4,3,1,thika_road,WALOKANA MULTIPURPOSE CO-OPERATIVE SOCIETY LTD | TRANSNOMICS COMPANY LIMITED | HOME SACCO LIMITED,"khoja, westlands,wangige,ngecha, peponi rd",HOME SACCO LIMITED / ADR-MDMSQ73,
moi avenue,4,2,1,kiambu_road,METROTRANS EAST AFRICA LIMITED | SUPER METRO LIMITED,"kikuyu, waiyaki way,westlands,moi avenue,tom mboya,thika road,kasarani, juja",METROTRANS EAST AFRICA LIMITED / NTR-00130,
kerugoya,4,2,1,thika_road,NEO KENYA MPYA COMMUTERS LIMITED | TRANSWORLD TRANSPORT SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"nairobi, thika,kerugoya, kirinyaga",NEO KENYA MPYA COMMUTERS LIMITED / NTR-00149,
soweto,4,2,1,thika_road,SOWETAMU TRAVELLERS SACCO | NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"St peters, Serena,Valley rd,Knh,Ngumo,Soweto,Kibera,Mbagathi rd,Tmall,Nyayo stadium,Lusaka rd,Enterprise rd, General Motors",NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-00201911111218030,
kawagware,3,2,1,thika_road,KENYA BUS SERVICE MANAGEMENT LIMITED | 2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"suswa, kimuka ngong dagoretti corner kawangware uthiru Kikuyu kamangu thigio ngecha wangige kahawa west KU hospital ruiru limuru, nakuru, ADR-JY7SZE7- bus station, ngong road, kawagware, uthiru, wangige",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-3ZQSJOA,
muranga rd terminus,3,2,1,thika_road,MANMO SACCO | BABA DOGO 25 TRAVELLERS SACCO,"odeon, muranga rd terminus,thika rd,alsops,baba dogo,outering rd,caltex, donholm",BABA DOGO 25 TRAVELLERS SACCO / NTR-00201910081316170,
jogoo rd muthurwa gikomba kariokor juja rd outeringrd allsops kariobangi dandora moslem machakos mlolongo mombasa rd cabanas easternbypass utawala ruiru roundabout kangundo rd ruai joska malaa tala thika makongeni kiskioni donyosabuk kilimambogo,3,3,1,thika_road,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | BENJO( K) LTD | PEJO TECH COMPANY LTD,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",BENJO( K) LTD / NTR-00741,
koma bus park,3,3,1,thika_road,GEOBEAT MAOKA TRAVELLERS LIMITED | CBET SACCO | REMBO SHUTTLE SAVINGS AND CREDIT SACCO LTD,"Gillhouse, Jogoo rd Buruburu Outering rd Kangundo rd, Koma bus park",CBET SACCO / NTR-00202012111552070,
bunyala road,3,2,1,thika_road,KENYA BUS SERVICE MANAGEMENT LIMITED | COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"bus station, mombasa road, bunyala road, likoni road, balozi, diamond park",COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-Q5LC67A,
eastlands,3,1,1,thika_road,EXPRESS CONNECTIONS LTD,"eastlands, ladhies road,bustation,ambassador,kencom,gpo,knh,upper hill,jamhuri,karen,kawangware, kawangware",EXPRESS CONNECTIONS LTD / NTR-00181,
ladhies road,3,1,1,thika_road,EXPRESS CONNECTIONS LTD,"eastlands, ladhies road,bustation,ambassador,kencom,gpo,knh,upper hill,jamhuri,karen,kawangware, kawangware",EXPRESS CONNECTIONS LTD / NTR-00181,
upper hill,3,1,1,thika_road,EXPRESS CONNECTIONS LTD,"eastlands, ladhies road,bustation,ambassador,kencom,gpo,knh,upper hill,jamhuri,karen,kawangware, kawangware",EXPRESS CONNECTIONS LTD / NTR-00181,
gogoo road,3,1,1,thika_road,EXPRESS CONNECTIONS LTD,"komarock, buru buru, gogoo road, bustation, kencom, knh, kawangware, jamhuri",EXPRESS CONNECTIONS LTD / ADR-DB3T3P6,
kiriaini,3,2,1,thika_road,GMK SACCO LIMITED | NAGIRU 145 SACCO,"githurai, muranga, kiriaini , ADR-6DBS896- ngara, muranga,kiriaini,nyeri, karatina",GMK SACCO LIMITED / ADR-O68I2MZ,
nyayo,3,2,1,thika_road,HIGHRISE KIBERA SACCO | NANGKIS MATATU SACCO,"bus station, nyayo, highrise, knh, kibera",HIGHRISE KIBERA SACCO / ADR-9AKFJ77,
rironi,3,2,1,thika_road,KANGEMI MATATU OWNERS SACCO | INTEGRITY INTERCITY LIMITED,"Khoja, Thika rd,Ngumba,Forest road,Museum road,Waiyaki way,Kinoo, Rironi",INTEGRITY INTERCITY LIMITED / ADR-MDMSZLA,
dagoretti market junction,3,2,1,thika_road,KANGEMI MATATU OWNERS SACCO | STARBUS COMPANY (K) LTD,"odeon, westlands,kangemi,stage 87,muhuri rd,dagoretti market junction,thogoto,kamangu,thigio,kmandura,rironi,kiambaa, kinoo 87",KANGEMI MATATU OWNERS SACCO / NTR-00201910041038480,
kinoo 87,3,1,1,thika_road,KANGEMI MATATU OWNERS SACCO,"odeon, westlands,kangemi,stage 87,muhuri rd,dagoretti market junction,thogoto,kamangu,thigio,kmandura,rironi,kiambaa, kinoo 87",KANGEMI MATATU OWNERS SACCO / NTR-00201910041038480,
stage87,3,2,1,thika_road,KANGEMI MATATU OWNERS SACCO | STARBUS COMPANY (K) LTD,"odeon, kangemi, stage87, muhuri road, dagoretti market junction",KANGEMI MATATU OWNERS SACCO / ADR-7WRS9Q5,
kenyatta hospital,3,2,1,thika_road,KENYA BUS SERVICE MANAGEMENT LIMITED | rasasi travellers limited,"Bus station, Lusaka rd,Nyayo Stadium,Rongai,Kiserian,Ngong,Karen,Dagoretti Corner, Kenyatta Hospital",KENYA BUS SERVICE MANAGEMENT LIMITED / ADR-2DVSZDY,
kibera dc,3,2,1,thika_road,NAZIGI SACCO LIMITED | KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD,"kibera(dc), via prestige,yaya,kileleshwa,lavington,westlands,kangemi,kikuyu,odeon,via limuru rd,ndenderu, karura",KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD / NTR-00201910041157320,
via prestige,3,2,1,thika_road,NAZIGI SACCO LIMITED | KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD,"kibera(dc), via prestige,yaya,kileleshwa,lavington,westlands,kangemi,kikuyu,odeon,via limuru rd,ndenderu, karura",KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD / NTR-00201910041157320,
bagathi road,3,1,1,thika_road,LUCKY TRANSPORTERS COMPANY,"banana, bus station,knh,bagathi road, langata",LUCKY TRANSPORTERS COMPANY / ADR-EPJSADV,
city cabanas and back,3,2,1,thika_road,SALTY SUPPORTERS INVESTMENT LIMITED | peja travellers limited,"ALSOLPS,, OUTERING ROAD,, CITY CABANAS AND BACK",peja travellers limited / ADR-EPJS7D5,
st marys hospital,3,2,1,thika_road,ST. MARYS TRANSPORT SACCO SOCIETY | rasasi travellers limited,"bus station, knh,mbagathi way, langata,otiende, st.marys hospital",rasasi travellers limited / ADR-POKSO32,
zimmerma,3,2,1,thika_road,ZURI GENESIS CO. LIMITED | SUPER TRAM LIMITED,"tommboya, zimmerma,githurai, kahawa west",SUPER TRAM LIMITED / NTR-00124,
limuru bypass,3,1,1,thika_road,TRANSNOMICS COMPANY LIMITED,"nairobi, limuru bypass, ruiru, thika",TRANSNOMICS COMPANY LIMITED / ADR-YM3SV52,
west madaraka,3,1,1,thika_road,WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,"bus station, west madaraka, langata rd, strathmore",WEST MADARAKA ROUTE 14 COOPERATIVE SACCO. / ADR-BQ9SQ86,
kangudo road,2,1,1,thika_road,city star shuttle limited,"kikuyu, kawangware, ngong road, yaya, icea, ambassadour, bus station, jogoo road, kangudo road, ruai, joska, malaa",city star shuttle limited / ADR-MDMSQLO,
tala market,2,1,1,thika_road,CITY TRAM SHUTTLE LIMITED,"bus station, tala market,tom mboya, jogoo road, buruburu, outering road, umoja, innercore, kangundo road",CITY TRAM SHUTTLE LIMITED / ADR-K9BFV62,
kimathi,2,1,1,thika_road,COMPLIANT MOA,"luthuli, general waruinge,garage,eastleigh, kimathi",COMPLIANT MOA / NTR-00355,
kangundo rd ruai kamulu utawala,2,1,1,thika_road,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"Bus Station, Kangundo rd Ruai Kamulu Utawala, Katani",COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-JY7S3W6,
balozi,2,1,1,thika_road,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"bus station, mombasa road, bunyala road, likoni road, balozi, diamond park",COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-Q5LC67A,
diamond park,2,1,1,thika_road,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"bus station, mombasa road, bunyala road, likoni road, balozi, diamond park",COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / ADR-Q5LC67A,
jogoo rdmuthurwagikombakariokorjuja rdouteringrdallsopskariobangi dandoramoslemmlolongomombasa rdcabanaseasternbypassutawalaruiruroundaboutkangundordruaijoskamalaatalathikamakongenikiskionidonyosabukukilimambogo,2,1,1,thika_road,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"Bus Station, Jogoo rdMuthurwaGikombaKariokorJuja RdOuteringRdAllsopsKariobangi dandoraMoslemmlolongomombasa rdCabanasEasternBypassUtawalaRuiruRoundaboutkangundordruaijoskamalaatalaThikaMakongenikiskionidonyosabukukilimambogo, Nyeri",EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / ADR-REOSRR7,
mlologo,2,1,1,thika_road,eastern bypass traverlers investment co. limited,"thika, ruiru, ruai, mlologo, kitegela, kajiado, namaga",eastern bypass traverlers investment co. limited / NTR-00375,
kitegela,2,1,1,thika_road,eastern bypass traverlers investment co. limited,"thika, ruiru, ruai, mlologo, kitegela, kajiado, namaga",eastern bypass traverlers investment co. limited / NTR-00375,
namaga,2,1,1,thika_road,eastern bypass traverlers investment co. limited,"thika, ruiru, ruai, mlologo, kitegela, kajiado, namaga",eastern bypass traverlers investment co. limited / NTR-00375,
outerring road,2,1,1,thika_road,eastern bypass traverlers investment co. limited,"mlolongo, outerring road, kariobagi, alsops, thika road, kenol",eastern bypass traverlers investment co. limited / ADR-ZZJSVV9,
nyanduma,2,1,1,thika_road,GIKAKI SACCO SOCIETY LIMITED,"Githunguri, Kagwe Kimende Limuru uplands kwamaiko ruiru, nyanduma",GIKAKI SACCO SOCIETY LIMITED / NTR-00813,
mumbi,2,1,1,thika_road,GIKIMWI BYPASS TRANSPORTERS SACCO,"githurai, mumbi, mwihoko",GIKIMWI BYPASS TRANSPORTERS SACCO / NTR-001337,
mombasa roadlusaka road industrial areakwa njenga outering rd kangundo rd ruai,2,2,1,thika_road,INDIMA (NJE) SACCO | KENYA BUS SERVICE MANAGEMENT LIMITED,"Bus station, Mombasa roadLusaka road Industrial AreaKwa Njenga Outering rd Kangundo rd Ruai, Kamulu",INDIMA (NJE) SACCO / NTR-00487,
ngumba,2,1,1,thika_road,INTEGRITY INTERCITY LIMITED,"khoja, thika road, ngumba",INTEGRITY INTERCITY LIMITED / NTR-00725,
museum road,2,2,1,thika_road,rasasi travellers limited | INTEGRITY INTERCITY LIMITED,"Khoja, Thika rd,Ngumba,Forest road,Museum road,Waiyaki way,Kinoo, Rironi",INTEGRITY INTERCITY LIMITED / ADR-MDMSZLA,
limuru rd,2,2,1,thika_road,JONSAGA FLATS SACCO | rasasi travellers limited,"Mowlem, Kariokor Gikomba cabanas Mombasa Rd athi River thika rd forest rd, Limuru rd",JONSAGA FLATS SACCO / NTR-00202104161338180,
ruiru kagwe githunguri nairobi,2,1,1,thika_road,KAKA TRAVELLERS SACCO LIMITED,"kagwenairobinakuru ,, KAGWE - GITHUNGURI - NAIROBI,NAKURU,NYAHURURU,NANYUKI,MAKONGENI,RUIRU- KAGWE - GITHUNGURI - NAIROBI,NAKURU,NYAHURURU,NANYUKI,MAKONGENI,RUIRU - KAGWE - GITHUNGURI - NAIROBI,NAKURU,NYAHURURU,NANYUKI,MAKONGENI,RUIRU",KAKA TRAVELLERS SACCO LIMITED / ADR-WZ9SEM3,
muhuri rd,2,2,1,thika_road,KANGEMI MATATU OWNERS SACCO | KIZALI TRAVELLERS LIMITED,"odeon, westlands,kangemi,stage 87,muhuri rd,dagoretti market junction,thogoto,kamangu,thigio,kmandura,rironi,kiambaa, kinoo 87",KANGEMI MATATU OWNERS SACCO / NTR-00201910041038480,
thigio,2,1,1,thika_road,KANGEMI MATATU OWNERS SACCO,"odeon, westlands,kangemi,stage 87,muhuri rd,dagoretti market junction,thogoto,kamangu,thigio,kmandura,rironi,kiambaa, kinoo 87",KANGEMI MATATU OWNERS SACCO / NTR-00201910041038480,
kiambaa,2,1,1,thika_road,KANGEMI MATATU OWNERS SACCO,"odeon, westlands,kangemi,stage 87,muhuri rd,dagoretti market junction,thogoto,kamangu,thigio,kmandura,rironi,kiambaa, kinoo 87",KANGEMI MATATU OWNERS SACCO / NTR-00201910041038480,
muhuri road,2,2,1,thika_road,KANGEMI MATATU OWNERS SACCO | STARBUS COMPANY (K) LTD,"odeon, kangemi, stage87, muhuri road, dagoretti market junction",KANGEMI MATATU OWNERS SACCO / ADR-7WRS9Q5,
gatuanyaga,2,1,1,thika_road,KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED,"Khoja, BananaLimuruKiambuTatucityNorthern bypassRuiruThika, Gatuanyaga",KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED / NTR-00201910041052400,
city stadium lusaka rd enterprise rd likoni rd jogoo rd kangundo rd via eastern bypass mombasa rd langata rd kungu karumba rd ngong rd karen dagoretti yaya centre limuru rd,2,2,1,thika_road,ST. MARYS TRANSPORT SACCO SOCIETY | KENYA BUS SERVICE MANAGEMENT LIMITED,"Bus Station, city stadium lusaka rd enterprise rd likoni rd jogoo rd kangundo rd via eastern bypass mombasa rd langata rd kungu karumba rd ngong rd karen dagoretti yaya centre limuru rd, Ruaka",KENYA BUS SERVICE MANAGEMENT LIMITED / NTR-00202108060801500,
lusaka rd,2,2,1,thika_road,KENYA BUS SERVICE MANAGEMENT LIMITED | NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"Bus station, Lusaka rd,Nyayo Stadium,Rongai,Kiserian,Ngong,Karen,Dagoretti Corner, Kenyatta Hospital",KENYA BUS SERVICE MANAGEMENT LIMITED / ADR-2DVSZDY,
maimahiu,2,1,1,thika_road,KIZALI TRAVELLERS LIMITED,"nairobi, limuru, maimahiu",KIZALI TRAVELLERS LIMITED / NTR-00705,
nachu,2,1,1,thika_road,KIZALI TRAVELLERS LIMITED,"nairobi, limuru,nachu,sgr, naivasha",KIZALI TRAVELLERS LIMITED / NTR-00201903291434030,
kanunga,2,1,1,thika_road,LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"limuru, tigoni,kanunga, kiambu",LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED / NTR-001334,
timboroa drive,2,1,1,thika_road,LUCKY BABA DOGO TRAVELLERS LIMITED,"timboroa drive, thika road, baba dogo",LUCKY BABA DOGO TRAVELLERS LIMITED / ADR-ZZJS9Z5,
abc place,2,1,1,thika_road,MANMO SACCO,"Abc place, WaiyakiwayForest rdParklandsMuranga rd TerminusCommercialBustationMombasa rdCitycabanasEastern bypassUtawalaRuaiKangundo rdOutering rdJUJA RDMathare northThika rdPark rd, Ngara rd",MANMO SACCO / NTR-00202003241330260,
northern bypass,2,2,1,thika_road,RUKAGINA 44 SACCO | MERUIT LOGISTICS LIMITED,"Marurui, Northern Bypass, Ruiru .",MERUIT LOGISTICS LIMITED / NTR-00202009231509490,
kawaida,2,1,1,kiambu_road,NAKINDUKA MATATU SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,"Kimende, Limuru Kiambu via Ruaka Ndumberi Githunguri, Kawaida",NAKINDUKA MATATU SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED / NTR-00938,
kasarani thika rd,2,2,1,thika_road,NAWAKU SACCO | NAWAKU TRAVELLERS LIMITED,"mwiki, kasarani thika rd, ABC",NAWAKU SACCO / NTR-00202109211036110,
kahawawest,2,1,1,thika_road,RUKAGINA 44 SACCO,"ronald ngala, zimmerman,githurai,kahawawest,northern bypass,ruiru, thika",RUKAGINA 44 SACCO / NTR-00201901151134190,
kayole junction,2,1,1,thika_road,SOWETAMU TRAVELLERS SACCO,"Thika, Ruiru,Eastern Bypass,Mihango,Kayole junction,soweto,Tajmall,Cabanas,Machakos, Wote",SOWETAMU TRAVELLERS SACCO / NTR-00201911080923280,
ruaka wangige kikuyu waiyaki way westlands moi avenue tom mboya thika rd kasarani juja thika thika makongeni oldonyo sabuk kilimambogo tala machakos mombasa rd,2,1,1,thika_road,SUPER METRO LIMITED,"Ruiru, Ruaka Wangige Kikuyu Waiyaki way Westlands Moi Avenue Tom Mboya Thika rd Kasarani Juja Thika (Thika makongeni) Oldonyo Sabuk Kilimambogo Tala Machakos Mombasa rd, Mlolongo",SUPER METRO LIMITED / ADR-A5ACQDD,
nrb west madaraka mombasa rd,2,2,1,thika_road,tawala shuttle limited | WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,"Bus station, NRB West Madaraka Mombasa RD, Langata RD, Lusaka RDCity Standium, Jogoo RD Donholm, OuterRing Rd AllsopsThika RD, UtawalaEastern BypassRuiru, RuakaWangige Kawangware, Ngong rd",tawala shuttle limited / NTR-0016,
lusaka rdcity standium,2,2,1,thika_road,tawala shuttle limited | WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,"Bus station, NRB West Madaraka Mombasa RD, Langata RD, Lusaka RDCity Standium, Jogoo RD Donholm, OuterRing Rd AllsopsThika RD, UtawalaEastern BypassRuiru, RuakaWangige Kawangware, Ngong rd",tawala shuttle limited / NTR-0016,
jogoo rd donholm,2,2,1,thika_road,tawala shuttle limited | WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,"Bus station, NRB West Madaraka Mombasa RD, Langata RD, Lusaka RDCity Standium, Jogoo RD Donholm, OuterRing Rd AllsopsThika RD, UtawalaEastern BypassRuiru, RuakaWangige Kawangware, Ngong rd",tawala shuttle limited / NTR-0016,
